,Region,Sub Region,Country,Drug Group,Drug,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
84,,,,,Non-specified hallucinogens,,,,,,,,,,,,,,,,,,,,,,,,0.019,,,,,,,,,,,,,,,
85,,,,,Non-specified sedatives and tranquillizers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.67019994031638,,,
86,,,,,Other sedatives and tranquillizers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.609169986383989,,,,,,,
87,,,,,Other types of cannabis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,414.426,287.24,145.045,,200.333,,
88,,,,,Pharmaceutical opioids,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1992.60002969205,2249.50003352016
89,,,,,Psychotropic substances,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.50356989933737,2.98870993319713,2.67019994031638,10.0873097745311,3.43114992330782,
90,,,,,Sedatives and tranquillizers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.03098993225209
91,,,Sudan,ATS (excluding ecstasy),Amphetamine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0305,192.13325,0.94,0.03975,3542.96475,,440.174,77.77675,
92,,,,,Methamphetamine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.2,
93,,,,,Non-specified ATS,,,,,936.675,96.87875,,,,,,,3.0,,,,,,,,0.2595,,,,,,,,,,,,,,,,,,18.945
94,,,,,Prescription stimulants,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.46975,,,,,
95,,,,Cocaine,"Cocaine (base, paste and salts)",,,,,,,,,,,,0.0410000011324883,,0.100000001490116,0.5,0.2,,0.13,,,0.001200000002980232,0.587,,1.922,2.0,,,,,,,,,,,,,,
96,,,,,Cocaine salts,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.6,6.1,1.425
97,,,,Ecstasy,Ecstasy-type substances,,,,,,,,,,,,,,,,,,,,,,,,,,0.612189,,,,,,,,,,,,,
98,,,,Hashish (resin),Hashish (resin),,,,,,,,,,,,,,,,,,,,,,,,8723.792,,1662.608,,,871.883,,,,,,,,,3500.0,
99,,,,Heroine and Morphine,Heroin,,,,,,,,,,3.09500002861023,0.535000026226044,0.0549999997019768,0.504000008106232,0.948000013828278,8.354,5.6872,0.833,,,0.25,,0.505,,,,,0.21,,,,0.029,,,3.0,,,,47.0,1300.0
100,,,,,Illicit morphine,,,,,,,,,,,,,,,,,,,,,,1.84080002743006,,,,,,,,,,,,,,,,,
101,,,,Marijuana (herb),Marijuana (herb),,2907.54296875,2722.21606445313,2003.63403320313,902.210998535156,271774.34375,733.184997558594,,1082.0,44661.71484375,73942.7578125,52971.26171875,,21503.0,,,1202.81201171875,,,,1887.805,,,,,,,,,,,,,,,,45000.0,45035.0,204702.0
102,,,,Other drugs,Cannabis oil,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,250.0
103,,,,,Cannabis plants,,,158.3,,,,,,,,,10084.0,65741.4921875,,,,,,,,,,,,,,6321.29,,4500.0,17255.0,12006.0,34501.0,23988.0,13630.0,10314.0,,,205000.0,
104,,,,,Cannabis seed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,622.0,630.0,,,3000.0,
105,,,,,Depressants (excluding Methaqualone),,,,,,,,,,,1.16248997401632,1.55735996519029,10.0,,,,0.143449996793643,,,,,,,,,,,,,,,,,,,,,,
